,Unnamed: 0,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,poisonous
0,0,x,s,n,t,p,f,c,n,k,e,s,s,w,w,p,w,o,p,k,s,u,p
1,1,x,s,y,t,a,f,c,b,k,e,s,s,w,w,p,w,o,p,n,n,g,e
2,2,b,s,w,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,n,n,m,e
3,3,x,y,w,t,p,f,c,n,n,e,s,s,w,w,p,w,o,p,k,s,u,p
4,4,x,s,g,f,n,f,w,b,k,t,s,s,w,w,p,w,o,e,n,a,g,e
5,5,x,y,y,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,k,n,g,e
6,6,b,s,w,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,k,n,m,e
7,7,b,y,w,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,n,s,m,e
8,8,x,y,w,t,p,f,c,n,p,e,s,s,w,w,p,w,o,p,k,v,g,p
9,9,b,s,y,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,k,s,m,e
10,10,x,y,y,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,n,n,g,e
11,11,x,y,y,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,k,s,m,e
12,12,b,s,y,t,a,f,c,b,w,e,s,s,w,w,p,w,o,p,n,s,g,e
13,13,x,y,w,t,p,f,c,n,k,e,s,s,w,w,p,w,o,p,n,v,u,p
14,14,x,f,n,f,n,f,w,b,n,t,s,f,w,w,p,w,o,e,k,a,g,e
15,15,s,f,g,f,n,f,c,n,k,e,s,s,w,w,p,w,o,p,n,y,u,e
16,16,f,f,w,f,n,f,w,b,k,t,s,s,w,w,p,w,o,e,n,a,g,e
17,17,x,s,n,t,p,f,c,n,n,e,s,s,w,w,p,w,o,p,k,s,g,p
18,18,x,y,w,t,p,f,c,n,n,e,s,s,w,w,p,w,o,p,n,s,u,p
19,19,x,s,n,t,p,f,c,n,k,e,s,s,w,w,p,w,o,p,n,s,u,p
20,20,b,s,y,t,a,f,c,b,k,e,s,s,w,w,p,w,o,p,n,s,m,e
21,21,x,y,n,t,p,f,c,n,n,e,s,s,w,w,p,w,o,p,n,v,g,p
22,22,b,y,y,t,l,f,c,b,k,e,s,s,w,w,p,w,o,p,n,s,m,e
23,23,b,y,w,t,a,f,c,b,w,e,s,s,w,w,p,w,o,p,n,n,m,e
24,24,b,s,w,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,k,s,m,e
25,25,f,s,w,t,p,f,c,n,n,e,s,s,w,w,p,w,o,p,n,v,g,p
26,26,x,y,y,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,n,n,m,e
27,27,x,y,w,t,l,f,c,b,w,e,s,s,w,w,p,w,o,p,n,n,m,e
28,28,f,f,n,f,n,f,c,n,k,e,s,s,w,w,p,w,o,p,k,y,u,e
29,29,x,s,y,t,a,f,w,n,n,t,s,s,w,w,p,w,o,p,n,v,d,e
30,30,b,s,y,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,n,n,m,e
31,31,x,y,w,t,p,f,c,n,k,e,s,s,w,w,p,w,o,p,n,s,u,p
32,32,x,y,y,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,n,n,m,e
33,33,x,y,n,t,l,f,c,b,p,e,s,y,w,w,p,w,o,p,n,y,p,e
34,34,b,y,y,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,n,s,m,e
35,35,x,f,y,t,l,f,w,n,w,t,s,s,w,w,p,w,o,p,n,v,d,e
36,36,s,f,g,f,n,f,c,n,k,e,s,s,w,w,p,w,o,p,k,v,u,e
37,37,x,y,n,t,p,f,c,n,w,e,s,s,w,w,p,w,o,p,n,s,u,p
38,38,x,f,y,t,a,f,w,n,p,t,s,s,w,w,p,w,o,p,n,v,d,e
39,39,b,s,y,t,l,f,c,b,k,e,s,s,w,w,p,w,o,p,k,s,m,e
40,40,b,y,y,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,n,s,g,e
41,41,x,y,y,t,l,f,c,b,n,e,s,y,w,w,p,w,o,p,k,y,p,e
42,42,x,f,n,f,n,f,c,n,g,e,s,s,w,w,p,w,o,p,k,y,u,e
43,43,x,y,w,t,p,f,c,n,p,e,s,s,w,w,p,w,o,p,n,v,g,p
44,44,x,s,y,t,a,f,c,b,w,e,s,s,w,w,p,w,o,p,k,n,m,e
45,45,x,y,w,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,n,n,g,e
46,46,x,y,y,t,l,f,c,b,k,e,s,s,w,w,p,w,o,p,k,s,m,e
47,47,x,s,w,t,l,f,c,b,w,e,s,s,w,w,p,w,o,p,n,n,m,e
48,48,x,y,y,t,l,f,c,b,n,e,s,y,w,w,p,w,o,p,n,s,p,e
49,49,f,y,y,t,l,f,c,b,w,e,s,y,w,w,p,w,o,p,k,s,p,e
50,50,x,y,n,t,a,f,c,b,w,e,s,y,w,w,p,w,o,p,k,s,g,e
51,51,x,s,w,t,l,f,c,b,k,e,s,s,w,w,p,w,o,p,k,s,g,e
52,52,b,s,w,t,l,f,c,b,k,e,s,s,w,w,p,w,o,p,n,n,m,e
53,53,x,y,n,t,p,f,c,n,k,e,s,s,w,w,p,w,o,p,n,v,u,p
54,54,x,s,w,t,p,f,c,n,k,e,s,s,w,w,p,w,o,p,k,v,u,p
55,55,b,y,y,t,a,f,c,b,w,e,s,s,w,w,p,w,o,p,k,s,m,e
56,56,f,f,g,f,n,f,w,b,n,t,s,s,w,w,p,w,o,e,n,a,g,e
57,57,b,s,w,t,a,f,c,b,w,e,s,s,w,w,p,w,o,p,n,n,g,e
58,58,x,s,y,t,l,f,c,b,k,e,s,s,w,w,p,w,o,p,k,n,g,e
59,59,x,y,n,t,a,f,c,b,p,e,s,y,w,w,p,w,o,p,k,y,p,e
60,60,s,f,g,f,n,f,c,n,k,e,s,s,w,w,p,w,o,p,n,v,u,e
61,61,b,y,y,t,a,f,c,b,k,e,s,s,w,w,p,w,o,p,n,s,m,e
62,62,b,s,y,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,n,s,m,e
63,63,b,y,y,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,n,n,m,e
64,64,b,y,w,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,n,s,g,e
65,65,f,s,n,f,n,f,w,b,k,t,s,s,w,w,p,w,o,e,k,a,g,e
66,66,x,s,w,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,k,s,g,e
67,67,f,y,y,t,a,f,c,b,w,e,s,y,w,w,p,w,o,p,n,s,g,e
68,68,x,y,y,t,a,f,c,b,w,e,s,s,w,w,p,w,o,p,k,n,g,e
69,69,x,f,g,f,n,f,c,n,p,e,s,s,w,w,p,w,o,p,n,v,u,e
70,70,f,f,y,t,l,f,w,n,p,t,s,s,w,w,p,w,o,p,n,v,d,e
71,71,b,y,w,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,n,s,m,e
72,72,f,f,y,t,l,f,w,n,w,t,s,s,w,w,p,w,o,p,n,v,d,e
73,73,x,y,n,t,a,f,c,b,p,e,s,y,w,w,p,w,o,p,k,s,p,e
74,74,b,s,y,t,a,f,c,b,k,e,s,s,w,w,p,w,o,p,k,s,g,e
75,75,f,s,y,t,l,f,w,n,p,t,s,s,w,w,p,w,o,p,n,v,d,e
76,76,x,s,w,t,l,f,w,n,n,t,s,s,w,w,p,w,o,p,u,v,d,e
77,77,f,y,n,t,l,f,c,b,p,e,s,y,w,w,p,w,o,p,n,y,p,e
78,78,x,y,n,t,p,f,c,n,w,e,s,s,w,w,p,w,o,p,n,v,u,p
79,79,f,y,n,t,a,f,c,b,n,e,s,y,w,w,p,w,o,p,n,y,g,e
80,80,x,s,n,f,n,f,w,b,k,t,f,s,w,w,p,w,o,e,n,s,g,e
81,81,x,y,w,t,p,f,c,n,w,e,s,s,w,w,p,w,o,p,k,s,g,p
82,82,f,f,g,f,n,f,c,n,n,e,s,s,w,w,p,w,o,p,n,y,u,e
83,83,x,f,g,f,n,f,w,b,n,t,s,s,w,w,p,w,o,e,n,s,g,e
84,84,x,y,y,t,l,f,c,b,w,e,s,y,w,w,p,w,o,p,k,s,g,e
85,85,x,s,n,f,n,f,w,b,k,t,s,s,w,w,p,w,o,e,k,s,g,e
86,86,b,s,w,t,a,f,c,b,w,e,s,s,w,w,p,w,o,p,k,s,g,e
87,87,x,s,w,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,n,s,g,e
88,88,f,y,n,t,l,f,c,b,w,e,s,y,w,w,p,w,o,p,k,y,g,e
89,89,s,f,n,f,n,f,c,n,n,e,s,s,w,w,p,w,o,p,n,v,u,e
90,90,x,f,n,f,n,f,c,n,n,e,s,s,w,w,p,w,o,p,n,y,u,e
91,91,b,s,w,t,l,f,c,b,k,e,s,s,w,w,p,w,o,p,k,s,g,e
92,92,x,y,y,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,k,s,g,e
93,93,x,y,y,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,k,n,m,e
94,94,x,s,n,f,n,f,w,b,n,t,s,s,w,w,p,w,o,e,n,a,g,e
95,95,x,s,w,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,n,s,g,e
96,96,f,y,n,t,l,f,c,b,p,e,s,y,w,w,p,w,o,p,n,s,g,e
97,97,x,s,y,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,k,n,g,e
98,98,b,s,w,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,n,s,g,e
99,99,x,y,w,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,k,s,g,e
100,100,x,f,n,f,n,f,w,b,p,t,f,s,w,w,p,w,o,e,k,s,g,e
101,101,b,s,y,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,k,n,g,e
102,102,f,y,y,t,l,f,c,b,w,e,s,y,w,w,p,w,o,p,n,s,g,e
103,103,x,y,y,t,a,f,c,b,n,e,s,y,w,w,p,w,o,p,k,y,p,e
104,104,b,y,w,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,n,n,g,e
105,105,x,y,y,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,k,n,m,e
